team,passer,recipient,start_x,start_y,end_x,end_y,weight
England,Anthony Gordon,Kobbie Mainoo,58.1,32.5,86.2,39.5,1
England,Anthony Gordon,Trent Alexander-Arnold,86.2,20.7,86.6,39.0,1
England,Bukayo Saka,Cole Palmer,87.22,70.8,89.9,63.220000000000006,5
England,Bukayo Saka,Conor Gallagher,60.92,72.32000000000001,61.339999999999996,65.6,5
England,Bukayo Saka,Declan Rice,85.22142857142856,43.15714285714286,78.98571428571428,38.621428571428574,14
England,Bukayo Saka,Eberechi Eze,81.64999999999999,19.733333333333334,92.36666666666667,25.933333333333334,6
England,Bukayo Saka,Harry Kane,79.28333333333335,60.111111111111114,87.35,51.922222222222224,18
England,Bukayo Saka,Ivan Toney,96.6,76.6,98.3,65.7,1
England,Bukayo Saka,John Stones,56.98,61.42999999999999,39.019999999999996,60.160000000000004,10
England,Bukayo Saka,Jordan Pickford,58.03333333333333,36.0,23.933333333333334,34.766666666666666,3
England,Bukayo Saka,Jude Bellingham,83.61200000000001,55.715999999999994,81.02,47.968,25
England,Bukayo Saka,Kieran Trippier,97.39999999999999,61.78333333333333,96.25,23.816666666666666,6
England,Bukayo Saka,Kobbie Mainoo,85.34782608695652,66.84782608695652,82.27826086956522,58.926086956521736,23
England,Bukayo Saka,Kyle Walker,75.7925925925926,71.15185185185184,67.46481481481482,69.61296296296297,54
England,Bukayo Saka,Luke Shaw,80.8,56.2,110.9,17.8,1
England,Bukayo Saka,Marc Guehi,62.15714285714285,31.74285714285714,50.128571428571426,27.571428571428573,7
England,Bukayo Saka,Phil Foden,82.17931034482758,56.713793103448275,81.81379310344828,49.83793103448276,29
England,Bukayo Saka,Trent Alexander-Arnold,64.2,67.0375,57.1875,58.925000000000004,8
England,Cole Palmer,Bukayo Saka,68.14999999999999,55.25,89.14999999999999,72.23333333333333,6
England,Cole Palmer,Declan Rice,65.2,53.0,56.15,38.95,4
England,Cole Palmer,Eberechi Eze,78.6,14.9,81.06666666666666,12.333333333333334,3
England,Cole Palmer,Ezri Konsa Ngoyo,48.0,36.0,37.4,10.2,1
England,Cole Palmer,Harry Kane,71.1,57.4,115.8,63.8,1
England,Cole Palmer,John Stones,73.55,76.0,65.05000000000001,55.0,2
England,Cole Palmer,Jude Bellingham,82.86666666666666,39.550000000000004,78.83333333333333,34.06666666666667,6
England,Cole Palmer,Kobbie Mainoo,90.92,72.28,93.47999999999999,60.3,5
England,Cole Palmer,Kyle Walker,73.62857142857142,73.15714285714286,65.21428571428571,71.45714285714286,7
England,Cole Palmer,Luke Shaw,87.35,15.825,87.25,15.55,4
England,Cole Palmer,Marc Guehi,63.56666666666666,46.333333333333336,55.13333333333333,25.866666666666664,3
England,Cole Palmer,Ollie Watkins,86.5,69.2,107.4,54.8,1
England,Cole Palmer,Phil Foden,82.63333333333334,40.78333333333333,93.03333333333335,32.55,6
England,Cole Palmer,Trent Alexander-Arnold,66.06666666666666,71.60000000000001,54.833333333333336,62.866666666666674,3
England,Conor Gallagher,Bukayo Saka,80.56666666666666,69.03333333333333,86.10000000000001,72.86666666666666,3
England,Conor Gallagher,Declan Rice,37.833333333333336,35.766666666666666,31.866666666666664,24.0,3
England,Conor Gallagher,Eberechi Eze,44.2,71.2,64.4,65.2,1
England,Conor Gallagher,John Stones,63.46,63.379999999999995,51.86,58.9,10
England,Conor Gallagher,Jordan Pickford,9.5,60.2,3.3,45.7,1
England,Conor Gallagher,Kieran Trippier,59.46666666666667,36.4,61.13333333333333,15.366666666666667,3
England,Conor Gallagher,Kobbie Mainoo,72.94999999999999,65.6,80.15,60.9,2
England,Conor Gallagher,Kyle Walker,60.16363636363636,60.36363636363637,57.92272727272727,69.72272727272728,22
England,Conor Gallagher,Phil Foden,80.5,47.45,82.94999999999999,37.3,2
England,Declan Rice,Bukayo Saka,66.86666666666667,38.357142857142854,83.41428571428571,49.53809523809524,21
England,Declan Rice,Cole Palmer,73.0375,21.4875,86.8875,37.125,8
England,Declan Rice,Conor Gallagher,66.075,32.725,65.25,48.900000000000006,4
England,Declan Rice,Eberechi Eze,64.95555555555556,25.822222222222223,71.91111111111111,12.666666666666666,9
England,Declan Rice,Ezri Konsa Ngoyo,63.17272727272727,29.9,59.42727272727273,16.345454545454547,11
England,Declan Rice,Harry Kane,71.69285714285715,25.77857142857143,82.16428571428571,28.057142857142857,14
England,Declan Rice,Ivan Toney,18.6,57.55,46.1,56.900000000000006,2
England,Declan Rice,Jarrod Bowen,70.2,64.8,80.4,76.0,1
England,Declan Rice,John Stones,52.353125,34.56875,48.209375,50.4109375,64
